生日,人物,t_start,t_end,地点,机构,职位
1966.1,丁强,1988.06,2019.12,深圳市,原市规划与国土资源局规划处，原市规划局规划处，市规划国土委地区规划处，科技信息处，龙华管理局，深汕特别合作区管委会，总体规划处（市城市规划委员会秘书处），地区规划处（地名处），城市和建筑设计处（市雕塑办公室），盐田管理局，深汕合作区管理局，市规划国土发展研究中心，市公共艺术中心（深圳雕塑院、市城市设计促进中心），市当代艺术馆与城市规划展览馆,副处长，副处长;总师室调研员，处长，处长，局长，副主任
1965.04,于宝明,2016.09,2019.01,深圳市,市交通运输委员会（市港务管理局）,党组书记;主任（局长）
1965.04,于宝明,2016.09,2019.12,深圳市,市交通运输局（市港务管理局）,党组书记;局长
1965.04,于宝明,2015.08,2016.09,深圳市,市建筑工务署,党组书记;署长
1965.04,于宝明,1987.09,2015.08,深圳市,市运输局建设处，市交通局规划建设处，市交通局，市交通运输委,处长，调研员;处长，总工程师;副局长，党组成员;副主任，
1963.07,任继光,2019.01,2019.12,深圳市,深圳市司法局,党委委员;副局长
1963.07,任继光,2019.01,2019.12,深圳市,律师公证管理处，社区矫正和安置帮教工作处，市监狱戒毒管理办公室，深圳监狱，市司法局第一强制隔离戒毒所，市司法局第二强制隔离戒毒所，宝安区司法局，光明区综合办，市律师协会，市公证协会,Blank
1963.07,任继光,2016.01,2019.01,深圳市,深圳市司法局,党委委员;副局长
1963.07,任继光,2013.05,2016.01,深圳市,深圳市公安局,党委委员;副局长
1964.1,余璟,2016.1,2019.12,深圳市,发展和改革委员会,党组成员;副主任
1964.1,余璟,1987.07,2016.1,深圳市,能源集团东部电厂，东部电厂二期厂,总经理，办主任
1966.07,关苏,2019.06,2019.12,深圳市,教育局党组,二级巡视员
1966.07,关苏,2019.01,2019.06,深圳市,教育局党组,巡视员
1966.07,关苏,2017.06,2019.01,湖北省,军区办公室,主任
1966.07,关苏,2014.06,2017.06,湖北省,咸宁军分区政治,委员
1966.07,关苏,2010.09,2014.06,深圳市,驻香港部队基地,副政治委员
1966.04,凌冲,1986.07,2019.12,深圳市,深圳市委员会，深圳市团校，深圳市委教育基地，深圳市老龄工作委员会办公室，市民政局救灾救济和低保处，市民政局救灾救助和慈善处，市民间组织管理局,副部长;部长，副校长(正处级)，主任，主任，处长，处长，局长
1966.04,凌冲,1986.07,2019.12,深圳市,社会组织管理局，社会组织,Blank
1961.07,刘世会,1980.11,2019.12,深圳市,市规划与国土资源局机关服务中心，市国土资源和房产管理局，地政和监察分局，直属分局，市规划和国土资源委员会行政监察处，秘书处，办公室（信访办），机关党委（人事处），龙岗管理局，坪山管理局，山水宾馆,中心主任，办公室主任，局长，局长，处长，处长
1971.02,刘伟,2018.06,2019.09,深圳市,发展和改革委员会,副主任
1971.02,刘伟,2016.1,2018.06,深圳市,龙岗区委，区政府,常委，党组成员
1971.02,刘伟,2016.09,2016.1,深圳市,龙岗区委，区政府,常委;副区长，党组成员
1971.02,刘伟,2016.07,2016.09,深圳市,龙岗区政府副区长,党组成员
1971.02,刘伟,2011.05,2016.06,深圳市,发展和改革委员会综合处,处长
1971.02,刘伟,2011.04,2011.05,深圳市,人民政府办公厅第一秘书处,处长
1971.02,刘伟,2011.02,2011.04,深圳市,人民政府办公厅财经处,副处长
1971.02,刘伟,2007.12,2011.02,深圳市,人民政府办公厅综合处,副处长
1971.02,刘伟,2003.07,2007.12,深圳市,人民政府办公厅综合处,主任科员
1971.02,刘伟,2000.09,2003.06,上海市,复旦大学,政治经济学博士研究生
1971.02,刘伟,1997.09,2000.07,上海市,复旦大学,经济学系硕士研究生
1971.02,刘伟,1992.07,1997.08,浙江省,华东石化销售公司高桥石油站,科员
1971.02,刘伟,1988.09,1992.07,浙江省,浙江大学应用电子技术专业,学生
1963.08,刘初汉,2019.01,2019.12,深圳市,深圳市生态环境局，深圳市生态环境局,党组书记;局长
1963.08,刘初汉,2015.01,2019.01,深圳市,深圳市人居环境委员会,主任
1963.08,刘初汉,2008.1,2011.01,北京市,北京大学高级管理人员工商管理,硕士
1963.08,刘初汉,2004.05,2015.01,深圳市,深圳市城管局（市城管执法局）,副局长;党委委员
1963.08,刘初汉,2002.08,2004.05,深圳市,深圳市府城管办（市城管执法局）,副主任（副局长）;党委委员
1963.08,刘初汉,2002.01,2002.08,深圳市,深圳市环境监理所,所长
1963.08,刘初汉,1998.03,2002.01,深圳市,深圳市环保局监督管理处,处长
1963.08,刘初汉,1995.1,1998.03,深圳市,深圳市环保局监督管理处,副处长（主持该处工作）
1963.08,刘初汉,1995.08,1995.1,深圳市,深圳市环保局政策法规处,副处长（主持该处工作）
1963.08,刘初汉,1994.01,1995.08,深圳市,深圳市环保局政策法规处主任,科员（该处负责人）
1963.08,刘初汉,1993.03,1994.01,深圳市,深圳市环保局办公室,副主任科员（文秘）
1963.08,刘初汉,1991.07,1993.03,深圳市,深圳市环保局办公室,科员（文秘）
1963.08,刘初汉,1984.09,1991.07,武汉省,武汉大学法学专业,学生
1970.11,卢旭阳,2019.01,2019.12,深圳市,深圳市生态环境局,党组成员;副局长
1970.11,卢旭阳,2019.01,2019.12,深圳市,大气环境处，生态环境监测与科技处，安全生产和环境应急工作，市环境监测中心站，市生态环境监测院，市环境科学研究院，市生态环境局南山分局，市生态环境局龙华分局,Blank
1970.11,卢旭阳,2016.01,2016.11,深圳市,深圳市人居环境委员会大气环境管理处,处长
1970.11,卢旭阳,2015.11,2019.01,深圳市,深圳市人居环境委员会,副主任
1970.11,卢旭阳,2015.09,2015.01,深圳市,深圳市人居环境委员会环境安全管理处,处长
1970.11,卢旭阳,2013.06,2015.09,深圳市,深圳市人居环境委员会大气污染防治办公室,副主任
1970.11,卢旭阳,2011.01,2015.09,深圳市,深圳市人居环境委员会污染防治处,调研员
1970.11,卢旭阳,2009.1,2011.01,深圳市,深圳市人居环境委员会污染防治处,副处长
1970.11,卢旭阳,2004.12,2009.1,深圳市,深圳市环保局环境监督管理处,副处长
1970.11,卢旭阳,2003.03,2004.12,深圳市,深圳市机动车排污监督管理办公室,副主任
1970.11,卢旭阳,2000.05,2003.03,深圳市,深圳市固废管理中心,工程师
1970.11,卢旭阳,1997.08,2000.05,深圳市,深圳市环保局,副主任科员
1970.11,卢旭阳,1994.09,1997.08,深圳市,深圳市环境监理所环境,监理员
1970.11,卢旭阳,1993.07,1994.08,深圳市,沙头角建筑设计公司,排水设计助工
1970.11,卢旭阳,1988.09,1993.07,北京市,清华大学环境工程专业,学生
1967.08,吴军军,2016.09,2018.08,深圳市,深圳市人力资源和社会保障局,党组成员;副局长
1964.12,吴学龙,2019.01,2019.12,深圳市,深圳市生态环境局,副巡视员
1964.12,吴学龙,2019.01,2019.12,深圳市,环境应急管理处，市生态环境局罗湖分局，市生态环境局坪山分局,Blank
1964.12,吴学龙,2009.04,2019.01,深圳市,深圳市城市管理局（市城市管理行政执法局），深圳市环境卫生管理处,党委委员，处长（副局级）
1964.12,吴学龙,2008.05,2009.04,深圳市,深圳市环境卫生管理处,处长
1964.12,吴学龙,2002.01,2008.05,深圳市,深圳市环境卫生管理处,党委副书记;主任
1964.12,吴学龙,1996.11,2002.01,深圳市,深圳市环境卫生管理处,副主任
1964.12,吴学龙,1995.03,1996.11,深圳市,深圳市环境卫生管理处技术设备科,科长
1964.12,吴学龙,1994.08,1995.03,深圳市,深圳市环境卫生管理处技术设备科,副科长
1964.12,吴学龙,1992.06,1994.08,深圳市,深圳市环卫化工厂,副厂长;厂长
1964.12,吴学龙,1991.07,1992.06,深圳市,深圳市环境卫生管理处,科员
1964.12,吴学龙,1988.09,1991.07,北京市,北京大学环境科学中心环境地学专业,硕士研究生
1964.12,吴学龙,1985.08,1988.09,武汉市,武汉城市建筑学院环境工程系,教师
1964.12,吴学龙,1980.09,1985.07,北京市,清华大学土木工程系,学员
1964.07,吴登记,2018.01,2019.12,深圳市,深圳市人力资源和社会保障局，市社会保险基金管理局，分管养老保险处，工伤保险处,党组成员
1964.07,吴登记,2009.1,2018.01,深圳市,市人力资源和社会保障局工资福利处，深圳市社会保险基金管理局,处长，局长;党委书记
1970.02,吴远翔,1995.08,2019.12,深圳市,深圳市委办公厅综合一处，市民管局执法监察处，市民政局办公室,副处长，处长，主任
1970.02,吴远翔,1995.08,2019.12,深圳市,深圳市委办公厅综合一处，市民管局执法监察处，市民政局办公室，办公室，规划和政策法规处，市捐助中心，市慈善会，分管领域和分管部门单位，市慈善事业联合会，市中国慈展会发展中心，市社会工作者协会,Blank
1971.1,周岸标,2017.02,2019.01,深圳市,政协深圳市坪山区委员会，中共深圳市坪山区石井街道工作委员会,副主席;党组成员，书记
1971.1,周岸标,2017.02,2019.12,深圳市,深圳市生态环境局,党组成员;副局长
1971.1,周岸标,2017.02,2019.12,深圳市,法规和标准处（生态文明体制改革办公室），环境影响评价与排放管理处（行政审批处），污染源管理处，市生态环境执法支队，市人居环境技术审查中心，市生态环境局龙岗分局，市生态环境局深汕特别合作区分局,Blank
1971.1,周岸标,2016.1,2017.01,深圳市,中共深圳市坪山新区石井街道工作委员会书记兼办事处,主任
1971.1,周岸标,2012.03,2016.1,深圳市,深圳市坪山新区坑梓办事处,主任
1971.1,周岸标,2009.09,2012.03,深圳市,深圳市坪山新区社会管理局,副局长（正处级）
1971.1,周岸标,1995.07,2009.09,深圳市,深圳市人力资源和社会保障局,党组成员;副局长
1971.1,周岸标,1991.09,1995.06,广东省,共青团深圳市委,副部长;部长
1966.07,娄和儒,2019.01,2019.12,深圳市,市交通运输局（市港务管理局），物流和供应链发展处（市泥头车安全专项整治工作领导小组办公室），港航管理处，民航发展处，宝安管理局，光明管理局，深圳港引航站，主持局直属机关,党组成员;副局长，
1966.07,娄和儒,2016.09,2019.01,深圳市,深圳市交通运输委员会（市港务管理局）,党组成员;副主任（副局长）
1966.07,娄和儒,1990.07,2016.09,深圳市,市交通局政工人事处，安全技术处，政工人事处，市交通运输委员会人事处,副处长;纪委副书记，处长，处长，处长
1962.11,孙福金,2017.08,2019.12,深圳市,深圳市人力资源和社会保障局,局长
1962.11,孙福金,2017.07,2017.08,深圳市,深圳市人力资源和社会保障局,党组书记
1962.11,孙福金,2014.09,2017.07,深圳市,深圳市机构编制委员会,办公室主任
1962.11,孙福金,2009.08,2014.09,深圳市,深圳市机构编制委员会办公室,办公室副主任
1962.11,孙福金,2007.01,2009.08,深圳市,深圳市机构编制委员会办公室，深圳市人事局（编办）,办公室副主任，党组成员
1968.1,尹杰,2019.01,2019.12,深圳市,深圳市生态环境局,党组成员;副局长
1968.1,尹杰,2019.01,2019.12,深圳市,生态环境保护督查处，水生态环境处，市饮用水源保护管理办公室，市生态环境局宝安分局，市生态环境局光明分局,Blank
1968.1,尹杰,2016.1,2019.01,深圳市,深圳市人居环境委员会水和土壤环境管理处,处长
1968.1,尹杰,2015.12,2016.1,深圳市,深圳市人居环境委员会污染物排放总量控制处,处长
1968.1,尹杰,2011.01,2015.12,深圳市,深圳市人居环境委员会污染减排处,调研员
1968.1,尹杰,2009.1,2011.01,深圳市,深圳市人居环境委员会污染减排处,副处长
1968.1,尹杰,2008.1,2009.1,深圳市,深圳市环境保护局生态市建设办公室，深圳市污染源普查办公室,主任，主任
1968.1,尹杰,2007.07,2008.1,深圳市,深圳市污染减排，深圳市污染源普查办公室,办公室主任，办公室主任
1968.1,尹杰,2004.12,2007.07,深圳市,深圳市环境保护局规划处,副处长
1968.1,尹杰,1998.03,2004.12,深圳市,深圳市环境保护局规划处,主任科员
1968.1,尹杰,1995.12,1998.03,深圳市,深圳市环境保护局规划处,副主任科员
1968.1,尹杰,1995.03,1995.12,深圳市,深圳市环境综合治理办公室,秘书部科员
1968.1,尹杰,1991.07,1995.03,深圳市,深圳市环境保护监测站,助理工程师
1968.1,尹杰,1987.09,1991.07,南京市,南京大学环境化学专业,学生
1964.1,廖远飞,1985.07,2019.12,深圳市,深圳市委办公厅，市工商行政管理局（物价局）宝安分局，市工商行政管理局（物价局），市场监管局，市场监管局（知识产权局），市委办公厅,正处级秘书，局长，副局长，副局长，副局长，副主任
1967.06,张亚立,2019.01,2019.12,深圳市,深圳市生态环境局,党组成员;副局长
1967.06,张亚立,2019.01,2019.12,深圳市,机关党委（人事处），规划发展与财务处，自然生态与海洋生态保护处，市生态环境智控中心（市生态环境宣传教育中心），一带一路环境技术交流与转移中心（深圳），市生态环境局盐田分局，市生态环境局大鹏新区分局,Blank
1967.06,张亚立,2016.04,2016.1,深圳市,深圳市东江环保股份有限公司,总裁助理（挂职）
1967.06,张亚立,2016.01,2019.01,深圳市,深圳市人居环境委员会生态文明建设处,处长
1967.06,张亚立,2015.09,2016.01,深圳市,深圳市人居环境委员会污染减排处,处长
1967.06,张亚立,2013.06,2015.09,深圳市,深圳市人居环境委员会污染减排处,调研员
1967.06,张亚立,2009.1,2013.06,深圳市,深圳市人居环境委员会污染减排处,副处长
1967.06,张亚立,2006.03,2009.1,深圳市,深圳市高新办建设协调处,副处长
1967.06,张亚立,2002.09,2006.03,深圳市,深圳市高新办建设协调处主任,科员
1967.06,张亚立,1995.1,2002.08,深圳市,深圳市宝安区建设局建设管理,人事管理员
1967.06,张亚立,1992.07,1995.09,深圳市,深圳石化集团,质检员
1967.06,张亚立,1985.09,1992.06,兰州市,兰州大学化学专业,学员
1965.01,张学凡,2017.01,2019.12,深圳市,深圳市住房和建设局,局长，党组书记
1965.01,张学凡,1987.07,2017.01,深圳市,深圳市福田区建筑工务局，福田区住房和建设局，深圳市住房和建设局，市住房保障署,局长，局长，党组成员，署长
1962.11,张涞临,2019.06,2019.12,深圳市,教育局,二级巡视员
1962.11,张涞临,2019.01,2019.06,深圳市,教育局,巡视员
1962.11,张涞临,2016.11,2019.01,深圳市,教育局，市委教育工委,副局长;党组成员，委员
1962.11,张涞临,2009.08,2016.11,深圳市,坪山新区党工委,职位委员;管理委员会副主任
1962.11,张涞临,2006.08,2009.08,深圳市,贸易工业局,副局长;党组成员
1969.07,张礼卫,2018.08,2019.12,深圳市,深圳市水务局，市水污染治理指挥部,党组书记;局长，办公室主任
1969.07,张礼卫,2016.09,2018.08,深圳市,深圳市水务局，深圳市东江水源工程管理处，深圳市建筑工务署,处长，主任，党组成员;总工程师;副署长;党组书记
1969.07,张礼卫,1991.07,2016.09,深圳市,深圳市水务局政工人事处，深圳市东江水源工程管理处，深圳市建筑工务署,处长，主任，党组成员;总工程师;副署长;党组书记
1962.012,张福通,2019.01,2019.12,深圳市,办公室;财务审计处，法规处（审批综合处），安全应急处（交通战备处），市交通运输行政执法支队，福田管理局，南山管理局，市道路交通管理事务中心,Blank
1962.012,张福通,2018.06,2019.01,深圳市,深圳市交通运输委员会，市交通运输局（市港务管理局）,党组成员;巡视员，党组成员;巡视员
1962.012,张福通,1980.09,2018.06,深圳市,市财政培训中心，市财政局，市财政局，市财政委员会,主任（副处级），党组成员;总经济师（副局级），党组成员;副局长，党组成员;副主任
1964.09,张素芬,2019.06,2019.12,深圳市,深圳市财政局,党组二级巡视员
1964.09,张素芬,2019.06,2019.12,深圳市,预算处，国库处，深圳市财政国库支付中心,Blank
1964.09,张素芬,2019.01,2019.06,深圳市,深圳市财政局,党组巡视员
1964.09,张素芬,2018.06,2019.01,深圳市,深圳市财政委员会,党组巡视员
1964.09,张素芬,2008.12,2018.06,深圳市,深圳市总工会，机关,党组副主席，党委书记
1971.05,张谦,1993.07,2019.12,深圳市,深圳市南山区规划土地监察大队，南山区城市更新局（土地整备局），南山区西丽街道，办事处，市规划土地监察局，分管林业管理处，市野生动植物保护管理处，龙华管理局，市野生动物救护中心，市公安局森林分局,局长，局长，党工委书记，主任
1966.1,张陆,2019.08,2019.12,深圳市,深圳市交通运输行政执法支队,支队长
1966.1,张陆,1988.07,2019.08,深圳市,深圳市交通工程质量监督站，深圳市交通运输委员会建设管理处，龙岗交通运输局，财务审计处，深圳市交通运输局财务审计处,站长，处长，局长，处长，处长
1974.04,徐志斌,2019.01,2019.12,深圳市,深圳市工业和信息化局,党组副局长
1974.04,徐志斌,2019.01,2019.12,深圳市,深圳市综合法规处（审批服务处），电子信息处（工业运行监测处），无线电管理处（无线电管理办公室），无线电监测站，信息中心,副局长
1974.04,徐志斌,2016.1,2019.01,深圳市,深圳市经济贸易和信息化委员会,党组副主任
1974.04,徐志斌,2013.12,2016.1,深圳市,综合法规处,处长
1974.04,徐志斌,2009.06,2013.12,深圳市,深圳市经贸信息委海洋经济处,处长
1974.04,徐志斌,2004.11,2009.06,深圳市,深圳市贸易工业局工业规划处,员工
1974.04,徐志斌,2003.03,2004.11,深圳市,深圳市对外贸易经济合作局对外经济合作处,副主任科员
1974.04,徐志斌,2002.01,2003.01,深圳市,新华社中国证券报社深圳管理总部,新闻采访业务员
1974.04,徐志斌,2000.01,2001.01,广东省,江广东证券上海投资银行部,实习生
1974.04,徐志斌,2000.01,2002.01,深圳市,中国工商银行深圳分行,国际结算业务员
1974.04,徐志斌,1996.01,1998.01,江西省,江西省对外经济贸易公司,进出口员工
1965.11,徐忠平,2019.01,2019.12,深圳市,市交通运输局（市港务管理局），综合规划处，智慧交通处，市公共交通管理局（市小汽车定编办公室），龙岗管理局，坪山管理局,党组成员;副局长
1965.11,徐忠平,2012.06,2019.01,深圳市,深圳市交通运输委员会（市港务管理局）,党组成员;副主任（副局长）
1965.11,徐忠平,1991.04,2012.06,深圳市,市规划国土局地矿处，市规划局，市规划国土房产信息中心，市城市规划发展研究中心，市规划国土发展研究中心,副处长;局办公室主任，总师室主任，主任，主任，主任
1964.05,徐鹏,2019.01,2019.13,深圳市,政策法规处（市国家司法考试办公室），基层管理处，市法律援助处，改革办公室，公共法律服务三平台建设管理工作专班，南山区司法局，蓝海现代法律发展中心,Blank
1964.05,徐鹏,2013.12,2019.01,深圳市,深圳市司法局,副局长
1964.05,徐鹏,2011.01,2013.12,深圳市,深圳市政府法制办法治协调处,处长
1966.12,文政,2019.01,2019.12,深圳市,深圳市财政局,党组成员;副局长
1966.12,文政,2019.01,2019.12,深圳市,行政处，政法处，预算绩效管理处,Blank
1966.12,文政,2016.11,2019.01,深圳市,深圳市财政委员会,党组成员;副主任
